,Unnamed: 0,item,plural,classification,frequency_rank,recipient_id,DOsentence,PDsentence,DO_score,PD_score,diff
0,1,101,False,alternating,1,longIndefinite,Bob took a man wearing a hat a gift.,Bob took a gift to a man wearing a hat.,-9.340918062571522,-10.517036875179492,1.176118812607971
1,2,101,False,alternating,1,shortIndefinite,Juan took a woman a gift.,Juan took a gift to a woman.,-10.885952881771976,-10.899931039581578,0.013978157809601655
2,3,103,False,alternating,3,longIndefinite,Michael gave a man wearing a hat a message.,Michael gave a message to a man wearing a hat.,-9.70876434132908,-10.391343976318112,0.6825796349890325
3,4,103,False,alternating,3,shortIndefinite,Bob gave a woman a message.,Bob gave a message to a woman.,-10.37501499806643,-10.510787459275875,0.13577246120944508
4,5,105,False,alternating,5,longIndefinite,Linda showed a man who was from work a picture.,Linda showed a picture to a man who was from work.,-9.911251126385867,-10.739569714372795,0.8283185879869279
5,6,105,False,alternating,5,shortIndefinite,Juan showed a woman a picture.,Juan showed a picture to a woman.,-10.361119077224837,-11.02850442231903,0.6673853450941927
6,7,107,False,alternating,7,longIndefinite,Maria brought a woman who was wearing a hat a blanket.,Maria brought a blanket to a woman who was wearing a hat.,-10.330405067005223,-10.144848424370906,-0.18555664263431737
7,8,107,False,alternating,7,shortIndefinite,Juan brought a woman a blanket.,Juan brought a blanket to a woman.,-9.421262059251607,-10.135270273543686,0.714008214292079
8,9,109,False,alternating,9,longIndefinite,John paid a man wearing a hat a compliment.,John paid a compliment to a man wearing a hat.,-9.592209612639468,-10.511575277400587,0.9193656647611181
9,10,109,False,alternating,9,shortIndefinite,Mary paid a woman a compliment.,Mary paid a compliment to a woman.,-10.064016562068037,-10.292624728754058,0.2286081666860209
10,11,111,False,alternating,11,longIndefinite,Maria offered a man from work a payment.,Maria offered a payment to a man from work.,-10.248225864827578,-10.228994929522393,-0.019230935305184715
11,12,111,False,alternating,11,shortIndefinite,Alice offered a woman a payment.,Alice offered a payment to a woman.,-9.804928817166108,-9.16229847596827,-0.6426303411978367
12,13,113,False,alternating,13,longIndefinite,Linda sold a woman who was from work some coffee.,Linda sold some coffee to a woman who was from work.,-10.287749141811217,-9.422114036325613,-0.8656351054856035
13,14,113,False,alternating,13,shortIndefinite,Alice sold a man some coffee.,Alice sold some coffee to a man.,-9.220815729551212,-8.865756779139533,-0.3550589504116797
14,15,115,False,alternating,15,longIndefinite,Michael hit a woman wearing a hat a curveball.,Michael hit a curveball to a woman wearing a hat.,-9.75930763952222,-9.662702107068295,-0.09660553245392478
15,16,115,False,alternating,15,shortIndefinite,Bob hit a woman a curveball.,Bob hit a curveball to a woman.,-9.411095466875011,-9.323461347963537,-0.08763411891147399
16,17,117,False,alternating,17,longIndefinite,Mary taught a woman wearing a hat a concept.,Mary taught a concept to a woman wearing a hat.,-9.692151067499847,-9.464587992152268,-0.2275630753475788
17,18,117,False,alternating,17,shortIndefinite,Maria taught a woman a concept.,Maria taught a concept to a woman.,-10.188364442091746,-9.880025803747753,-0.30833863834399367
18,19,119,False,alternating,19,longIndefinite,Juan threw a woman wearing a hat a soda.,Juan threw a soda to a woman wearing a hat.,-10.131179870883596,-10.619134455972148,0.48795458508855205
