,Unnamed: 0,item,plural,classification,frequency_rank,recipient_id,DOsentence,PDsentence,DO_score,PD_score,diff
0,1,101,False,alternating,1,longIndefinite,Bob took a man wearing a hat a gift.,Bob took a gift to a man wearing a hat.,-9.387318935761659,-9.007376244320632,-0.3799426914410269
1,2,101,False,alternating,1,shortIndefinite,Juan took a woman a gift.,Juan took a gift to a woman.,-9.748392543160772,-9.108800395822028,-0.6395921473387443
2,3,103,False,alternating,3,longIndefinite,Michael gave a man wearing a hat a message.,Michael gave a message to a man wearing a hat.,-9.427456946185199,-9.59800791035985,0.17055096417465165
3,4,103,False,alternating,3,shortIndefinite,Bob gave a woman a message.,Bob gave a message to a woman.,-10.176935021789019,-10.314918359410674,0.13798333762165527
4,5,105,False,alternating,5,longIndefinite,Linda showed a man who was from work a picture.,Linda showed a picture to a man who was from work.,-9.591360626683695,-10.523140878475141,0.9317802517914462
5,6,105,False,alternating,5,shortIndefinite,Juan showed a woman a picture.,Juan showed a picture to a woman.,-10.513350063120923,-10.441093534543018,-0.07225652857790443
6,7,107,False,alternating,7,longIndefinite,Maria brought a woman who was wearing a hat a blanket.,Maria brought a blanket to a woman who was wearing a hat.,-10.480395363464032,-10.259959685709974,-0.22043567775405748
7,8,107,False,alternating,7,shortIndefinite,Juan brought a woman a blanket.,Juan brought a blanket to a woman.,-11.283702590349757,-11.004559216453048,-0.2791433738967086
8,9,109,False,alternating,9,longIndefinite,John paid a man wearing a hat a compliment.,John paid a compliment to a man wearing a hat.,-9.63318388004911,-9.628536012276498,-0.0046478677726113915
9,10,109,False,alternating,9,shortIndefinite,Mary paid a woman a compliment.,Mary paid a compliment to a woman.,-10.895856462952379,-10.64684210866236,-0.2490143542900185
10,11,111,False,alternating,11,longIndefinite,Maria offered a man from work a payment.,Maria offered a payment to a man from work.,-9.861556563539295,-9.746595498780575,-0.11496106475872025
11,12,111,False,alternating,11,shortIndefinite,Alice offered a woman a payment.,Alice offered a payment to a woman.,-9.471306365063187,-9.607561265544033,0.13625490048084643
12,13,113,False,alternating,13,longIndefinite,Linda sold a woman who was from work some coffee.,Linda sold some coffee to a woman who was from work.,-9.622868791515938,-9.695482610449723,0.07261381893378527
13,14,113,False,alternating,13,shortIndefinite,Alice sold a man some coffee.,Alice sold some coffee to a man.,-9.380394553633302,-8.687560541567706,-0.692834012065596
14,15,115,False,alternating,15,longIndefinite,Michael hit a woman wearing a hat a curveball.,Michael hit a curveball to a woman wearing a hat.,-9.817477244726927,-9.269276848708122,-0.5482003960188049
15,16,115,False,alternating,15,shortIndefinite,Bob hit a woman a curveball.,Bob hit a curveball to a woman.,-9.85476535144235,-9.239365225204164,-0.6154001262381854
16,17,117,False,alternating,17,longIndefinite,Mary taught a woman wearing a hat a concept.,Mary taught a concept to a woman wearing a hat.,-8.313970063436061,-7.087152103731416,-1.2268179597046451
17,18,117,False,alternating,17,shortIndefinite,Maria taught a woman a concept.,Maria taught a concept to a woman.,-7.5610021316170135,-6.362113420408904,-1.1988887112081095
18,19,119,False,alternating,19,longIndefinite,Juan threw a woman wearing a hat a soda.,Juan threw a soda to a woman wearing a hat.,-10.389809854608426,-9.845515602994451,-0.5442942516139748
19,20,119,False,alternating,19,shortIndefinite,John threw a woman a soda.,John threw a soda to a woman.,-9.99562365952076,-9.647706276410815,-0.34791738310994447
20,21,121,False,alternating,21,longIndefinite,Linda pushed a woman who was from work a plate.,Linda pushed a plate to a woman who was from work.,-9.807063479714017,-9.71525520361992,-0.09180827609409725
21,22,121,False,alternating,21,shortIndefinite,John pushed a woman a plate.,John pushed a plate to a woman.,-9.939834836219642,-9.339221919343704,-0.6006129168759387
22,23,123,True,alternating,23,longIndefinite,Linda flew a team from work some weapons.,Linda flew some weapons to a team from work.,-9.628077695537213,-9.033452622899585,-0.5946250726376281
23,24,123,True,alternating,23,shortIndefinite,Bob flew a team some weapons.,Bob flew some weapons to a team.,-9.565004445515292,-9.54692488332253,-0.018079562192761855
24,25,125,False,alternating,25,longIndefinite,Bob promised a woman who was wearing a hat a chance.,Bob promised a chance to a woman who was wearing a hat.,-9.722859208089123,-9.740607248173974,0.01774804008485198
25,26,125,False,alternating,25,shortIndefinite,Michael promised a man a chance.,Michael promised a chance to a man.,-10.482112542815036,-10.259684699817802,-0.2224278429972344
26,27,127,False,alternating,27,longIndefinite,John kicked a woman who was from work a football.,John kicked a football to a woman who was from work.,-9.76495755396186,-9.673762191641949,-0.09119536231991177
27,28,127,False,alternating,27,shortIndefinite,Michael kicked a woman a football.,Michael kicked a football to a woman.,-9.092327509727166,-10.018779905747511,0.9264523960203448
28,29,129,False,alternating,29,longIndefinite,Alice granted a woman wearing a hat another chance.,Alice granted another chance to a woman wearing a hat.,-9.063985759878292,-9.467976371585614,0.40399061170732153
