,Unnamed: 0,item,plural,classification,frequency_rank,recipient_id,DOsentence,PDsentence,DO_score,PD_score,diff
0,1,101,False,alternating,1,longIndefinite,Bob took a man wearing a hat a gift.,Bob took a gift to a man wearing a hat.,-5.376938819885254,-3.998729705810547,1.378209114074707
1,2,101,False,alternating,1,shortIndefinite,Juan took a woman a gift.,Juan took a gift to a woman.,-6.735569477081299,-5.665219306945801,1.070350170135498
2,3,103,False,alternating,3,longIndefinite,Michael gave a man wearing a hat a message.,Michael gave a message to a man wearing a hat.,-5.282260894775391,-3.833098888397217,1.4491620063781738
3,4,103,False,alternating,3,shortIndefinite,Bob gave a woman a message.,Bob gave a message to a woman.,-4.63815450668335,-4.365520000457764,0.27263450622558594
4,5,105,False,alternating,5,longIndefinite,Linda showed a man who was from work a picture.,Linda showed a picture to a man who was from work.,-5.350149154663086,-4.619756698608398,0.7303924560546875
5,6,105,False,alternating,5,shortIndefinite,Juan showed a woman a picture.,Juan showed a picture to a woman.,-5.92533540725708,-5.538125038146973,0.3872103691101074
6,7,107,False,alternating,7,longIndefinite,Maria brought a woman who was wearing a hat a blanket.,Maria brought a blanket to a woman who was wearing a hat.,-4.918571949005127,-3.7883498668670654,1.1302220821380615
7,8,107,False,alternating,7,shortIndefinite,Juan brought a woman a blanket.,Juan brought a blanket to a woman.,-6.78163480758667,-6.109434127807617,0.6722006797790527
8,9,109,False,alternating,9,longIndefinite,John paid a man wearing a hat a compliment.,John paid a compliment to a man wearing a hat.,-5.849202632904053,-4.0902485847473145,1.7589540481567383
9,10,109,False,alternating,9,shortIndefinite,Mary paid a woman a compliment.,Mary paid a compliment to a woman.,-4.274548053741455,-4.474151134490967,-0.19960308074951172
10,11,111,False,alternating,11,longIndefinite,Maria offered a man from work a payment.,Maria offered a payment to a man from work.,-6.113251209259033,-5.448079586029053,0.6651716232299805
11,12,111,False,alternating,11,shortIndefinite,Alice offered a woman a payment.,Alice offered a payment to a woman.,-5.548240661621094,-4.8688507080078125,0.6793899536132812
12,13,113,False,alternating,13,longIndefinite,Linda sold a woman who was from work some coffee.,Linda sold some coffee to a woman who was from work.,-7.165594577789307,-5.067694664001465,2.097899913787842
13,14,113,False,alternating,13,shortIndefinite,Alice sold a man some coffee.,Alice sold some coffee to a man.,-5.958512783050537,-4.888400554656982,1.0701122283935547
14,15,115,False,alternating,15,longIndefinite,Michael hit a woman wearing a hat a curveball.,Michael hit a curveball to a woman wearing a hat.,-5.2947869300842285,-4.354972839355469,0.9398140907287598
15,16,115,False,alternating,15,shortIndefinite,Bob hit a woman a curveball.,Bob hit a curveball to a woman.,-5.410132884979248,-4.89670467376709,0.5134282112121582
16,17,117,False,alternating,17,longIndefinite,Mary taught a woman wearing a hat a concept.,Mary taught a concept to a woman wearing a hat.,-6.1511945724487305,-4.757554531097412,1.3936400413513184
17,18,117,False,alternating,17,shortIndefinite,Maria taught a woman a concept.,Maria taught a concept to a woman.,-5.8897624015808105,-5.365638256072998,0.5241241455078125
18,19,119,False,alternating,19,longIndefinite,Juan threw a woman wearing a hat a soda.,Juan threw a soda to a woman wearing a hat.,-6.7832794189453125,-4.885413646697998,1.8978657722473145
19,20,119,False,alternating,19,shortIndefinite,John threw a woman a soda.,John threw a soda to a woman.,-5.914851665496826,-5.145145893096924,0.7697057723999023
20,21,121,False,alternating,21,longIndefinite,Linda pushed a woman who was from work a plate.,Linda pushed a plate to a woman who was from work.,-6.0054612159729,-5.428440093994141,0.5770211219787598
21,22,121,False,alternating,21,shortIndefinite,John pushed a woman a plate.,John pushed a plate to a woman.,-6.4111504554748535,-5.7985758781433105,0.612574577331543
22,23,123,True,alternating,23,longIndefinite,Linda flew a team from work some weapons.,Linda flew some weapons to a team from work.,-7.567984580993652,-6.396424293518066,1.171560287475586
