,Unnamed: 0,item,plural,classification,frequency_rank,recipient_id,DOsentence,PDsentence,DO_score,PD_score,diff
0,1,101,FALSE,alternating,1,longIndefinite,Bob took a man wearing a hat a gift.,Bob took a gift to a man wearing a hat.,-8.585197508,-8.490409998,-0.09478751
1,2,101,FALSE,alternating,1,shortIndefinite,Juan took a woman a gift.,Juan took a gift to a woman.,-8.71645547,-9.049860902,0.333405432
2,3,103,FALSE,alternating,3,longIndefinite,Michael gave a man wearing a hat a message.,Michael gave a message to a man wearing a hat.,-9.703496799,-9.289815289,-0.413681511
3,4,103,FALSE,alternating,3,shortIndefinite,Bob gave a woman a message.,Bob gave a message to a woman.,-9.82716937,-9.804837338,-0.022332032
4,5,105,FALSE,alternating,5,longIndefinite,Linda showed a man who was from work a picture.,Linda showed a picture to a man who was from work.,-9.809443608,-10.38542692,0.575983316
5,6,105,FALSE,alternating,5,shortIndefinite,Juan showed a woman a picture.,Juan showed a picture to a woman.,-9.55536633,-9.607123974,0.051757645
6,7,107,FALSE,alternating,7,longIndefinite,Maria brought a woman who was wearing a hat a blanket.,Maria brought a blanket to a woman who was wearing a hat.,-10.84482548,-9.240751984,-1.604073492
7,8,107,FALSE,alternating,7,shortIndefinite,Juan brought a woman a blanket.,Juan brought a blanket to a woman.,-9.044832484,-9.779770603,0.734938119
8,9,109,FALSE,alternating,9,longIndefinite,John paid a man wearing a hat a compliment.,John paid a compliment to a man wearing a hat.,-8.514284863,-8.617303622,0.103018759
9,10,109,FALSE,alternating,9,shortIndefinite,Mary paid a woman a compliment.,Mary paid a compliment to a woman.,-11.167693,-11.29443786,0.126744862
10,11,111,FALSE,alternating,11,longIndefinite,Maria offered a man from work a payment.,Maria offered a payment to a man from work.,-9.851273644,-10.03388414,0.182610497
11,12,111,FALSE,alternating,11,shortIndefinite,Alice offered a woman a payment.,Alice offered a payment to a woman.,-10.59436466,-10.24588025,-0.348484412
12,13,113,FALSE,alternating,13,longIndefinite,Linda sold a woman who was from work some coffee.,Linda sold some coffee to a woman who was from work.,-9.945384818,-9.486310219,-0.459074599
13,14,113,FALSE,alternating,13,shortIndefinite,Alice sold a man some coffee.,Alice sold some coffee to a man.,-9.84549774,-9.113090757,-0.732406983
14,15,115,FALSE,alternating,15,longIndefinite,Michael hit a woman wearing a hat a curveball.,Michael hit a curveball to a woman wearing a hat.,-10.04717225,-9.458498118,-0.588674136
15,16,115,FALSE,alternating,15,shortIndefinite,Bob hit a woman a curveball.,Bob hit a curveball to a woman.,-9.121715985,-9.358937837,0.237221852
16,17,117,FALSE,alternating,17,longIndefinite,Mary taught a woman wearing a hat a concept.,Mary taught a concept to a woman wearing a hat.,-9.878227137,-9.017373726,-0.860853411
17,18,117,FALSE,alternating,17,shortIndefinite,Maria taught a woman a concept.,Maria taught a concept to a woman.,-9.418123482,-7.954443044,-1.463680438
18,19,119,FALSE,alternating,19,longIndefinite,Juan threw a woman wearing a hat a soda.,Juan threw a soda to a woman wearing a hat.,-8.39021056,-8.456315271,0.066104711
19,20,119,FALSE,alternating,19,shortIndefinite,John threw a woman a soda.,John threw a soda to a woman.,-7.902889464,-6.724976605,-1.177912859
20,21,121,FALSE,alternating,21,longIndefinite,Linda pushed a woman who was from work a plate.,Linda pushed a plate to a woman who was from work.,-10.22151307,-9.770017125,-0.451495948
21,22,121,FALSE,alternating,21,shortIndefinite,John pushed a woman a plate.,John pushed a plate to a woman.,-8.233378388,-8.234045932,0.000667544
22,23,123,TRUE,alternating,23,longIndefinite,Linda flew a team from work some weapons.,Linda flew some weapons to a team from work.,-9.838978959,-9.01897565,-0.820003309
23,24,123,TRUE,alternating,23,shortIndefinite,Bob flew a team some weapons.,Bob flew some weapons to a team.,-9.586665701,-7.80898416,-1.777681542
24,25,125,FALSE,alternating,25,longIndefinite,Bob promised a woman who was wearing a hat a chance.,Bob promised a chance to a woman who was wearing a hat.,-8.940967159,-10.27230098,1.331333822
25,26,125,FALSE,alternating,25,shortIndefinite,Michael promised a man a chance.,Michael promised a chance to a man.,-11.7449153,-11.19940434,-0.545510961
26,27,127,FALSE,alternating,27,longIndefinite,John kicked a woman who was from work a football.,John kicked a football to a woman who was from work.,-8.446728977,-8.467336642,0.020607665
27,28,127,FALSE,alternating,27,shortIndefinite,Michael kicked a woman a football.,Michael kicked a football to a woman.,-8.655996484,-9.254974851,0.598978367
28,29,129,FALSE,alternating,29,longIndefinite,Alice granted a woman wearing a hat another chance.,Alice granted another chance to a woman wearing a hat.,-9.759397364,-9.621063672,-0.138333692
29,30,129,FALSE,alternating,29,shortIndefinite,Linda granted a man another chance.,Linda granted another chance to a man.,-10.87977531,-10.64085068,-0.238924632
30,31,131,FALSE,alternating,31,longIndefinite,Michael slipped a man from work a pill.,Michael slipped a pill to a man from work.,-10.31842747,-10.40706431,0.088636847
31,32,131,FALSE,alternating,31,shortIndefinite,John slipped a woman a pill.,John slipped a pill to a woman.,-8.329497656,-8.431397628,0.101899972
32,33,133,FALSE,alternating,33,longIndefinite,John quoted a man wearing a hat a sentence.,John quoted a sentence to a man wearing a hat.,-8.31799914,-8.440012632,0.122013492
33,34,133,FALSE,alternating,33,shortIndefinite,Michael quoted a woman a sentence.,Michael quoted a sentence to a woman.,-8.025208154,-10.56387053,2.538662377
34,35,135,FALSE,alternating,35,longIndefinite,Linda owed a woman wearing a hat a job.,Linda owed a job to a woman wearing a hat.,-9.575437452,-9.39883089,-0.176606562
35,36,135,FALSE,alternating,35,shortIndefinite,Bob owed a woman a job.,Bob owed a job to a woman.,-9.769574165,-9.807260293,0.037686128
